Name,ID
Hy-Dynamic,HY-DYNAMIC
Hyster,HYSTER
Hyundai,3
Hyundai - Europe,EU HYUNDAI
Hyundai LCV - Europe,EU HYU LCV
Indmar,INDMAR
Infiniti,68
Ingersoll Rand,INGERSOLL
International,71
Iseki,ISEKI
Ishikawajima,910
Isotta Fraschini,473
Isuzu,37
Isuzu - Europe,EU ISUZU
Iveco,IVECO
Iveco Fiat LCV / Heavy Duty - Europe,EU IVECO
J.C. Bamford,J.C. BAMFO
Jackel,JACKEL
Jacobsen,630
Jacuzzi Jet,JACUZZI JE
Jaguar,20
Jaguar - Europe,EU JAGUAR
JCB,722
Jeep,42
Jeep - Europe,EU JEEP
Jensen,9
Jensen - Europe,EU JENSEN
Jet Edge,JET EDGE
Jetmoto,JETMOTO
JGM,JGM
JLG,JLG
John Bean,912
John Deere,725
Johnson,913
Joy,JOY
JS Barnes,JS BARNES
JSW,JSW
Jungheinrich,JUNGHEIN
Kalmar AC,KALMAR AC
Kamaz - Europe,EU KAMAZ
Katoh,KATOH
Kawasaki,729
Kazuma,KAZUMA
Keno,KENO
Kenworth,559
KHD,KHD
Kia,21
Kia - Europe,EU KIA
Kobelco,KOBELCO
Kohler,KOHLER
Komatsu,KOMATSU
KTM,1193
Kubota,733
Kymco,1194
Lada,90
Lada - Europe,EU LADA
Lada LCV - Europe,EU LADALCV
Lamborghini,38
Lamborghini-Agricultural,LAMB-AG
Lancer,LANCER
Lancia,8
Lancia - Europe,EU LANCIA
Land Rover,11
Land Rover - Europe,EU LAND RO
Landini,918
Lathrop,LATHROP
Lay-Mor,LAY-MOR
Le Tourneau-Westinghouse,LE TOURNEA
Lee Boy,LEE BOY
Lehman,LEHMAN
Lexus,75
Lexus - Europe,EU LEXUS
Leyland DAF,LEYLAND DA
Leyland DAF - Europe,EU LEY DAF
Leyland DAF Vans - Europe,EU LEYLAND
Leyland Nuffield,LEYLAND NU
Leyland Thornycroft,LEYLAND TH
Liebherr,LIEBHERR
Liftmore,LIFTMORE
Linamar,LINAMAR
Lincoln,55
Lincoln Welder,LINCOLN WE
Linde,LINDE
Link-Belt,LINK-BELT
Lister-Blackstone,LISTER-BLA
Lister-Petter,LISTER-PET
Lombardini,LOMBARDINI
Long Tractor,LONG TRACT
Lotus,84
Lotus - Europe,EU LOTUS
LTi (Carbodies) - Europe,EU LTI
Lucas,LUCAS
Lynx,LYNX
Macdon,921
Mack,496
Magirus-Deutz,MAGIRUS
MAN - Europe,EU MAN
Mando,MANDO
Mantiou,MANTIOU
Marine Power,MARINE POW
Mariner,MARINER
Massey Ferguson,748
Maxam,MAXAM
Maybach,62
Mazda,80
Mazda - Europe,EU MAZDA
McCloskey Brothers,MC CLOSKEY
McCormick,927
McCulloch,750
MCI,MCI
Medalist,MEDALIST
Melroe Spra Coupe,MELROE SPR
Mercedes - Europe,EU MERCED
Mercedes Heavy Duty - Europe,EU MERC HD
Mercedes LCV - Europe,EU BENZ CV
Mercedes-Benz,63
Mercruiser,MERCRUISER
Mercury,56
Merkur,57
Meyer,MEYER
MG,64
MHT,MHT
Michigan,MICHIGAN
