makeID,ID,makeName,Name
45,7,Buick,Van
BUKH,Engines-Ma,Bukh,Engine - Marine
46,5,Cadillac,Car
46,6,Cadillac,Truck
CARRIER TR,Generators,Carrier Transicold,Generator
CARRIER TR,Heating Un,Carrier Transicold,Heating Unit
CARRIER TR,Misc. Equi,Carrier Transicold,Misc. Equipment
CARRIER TR,Trailer Un,Carrier Transicold,Trailer Unit
CARRIER TR,Truck Unit,Carrier Transicold,Truck Unit
566,14,Case,Agricultural Tractor
566,15,Case,Baler
566,16,Case,Combine
566,Cotton Pic,Case,Cotton Picker
566,Cranes,Case,Crane
566,Crawler Ex,Case,Crawler Excavator
566,Crawler Lo,Case,Crawler Loader
566,Crawler Tr,Case,Crawler Tractor
566,Crawlers,Case,Crawlers
566,Dozers,Case,Dozer
566,Excavators,Case,Excavator
566,Feller Bun,Case,Feller Buncher
566,Floater,Case,Floater
566,Lift Truck,Case,Lift Truck
566,Loaders,Case,Loader
566,Loaders BH,Case,Loader - Backhoe
566,Power Unit,Case,Power Unit
566,Rollers,Case,Roller
566,Shovels,Case,Shovel
566,SkidSteerL,Case,Skid Steer Loader
566,17,Case,Sprayer
566,Telescopic,Case,Telescopic Handler
566,TrackLoad,Case,Track Loader
566,Tractors,Case,Tractor
566,Tractors C,Case,Tractor - Compact
566,Tractors F,Case,Tractor - Farm
566,Tractors I,Case,Tractor - Industrial
566,Tractors L,Case,Tractor - Lawn
566,Trenchers,Case,Trencher
566,Uni-Loader,Case,Uni-Loader
566,Wheel Load,Case,Wheel Loader
566,Wheel Trac,Case,Wheel Tractor
566,18,Case,Windrower
566,Woodlands,Case,Woodland
1081,Backhoes,Caterpillar,Backhoe
1081,Compactors,Caterpillar,Compactor
1081,Crawler Lo,Caterpillar,Crawler Loader
1081,Dozers,Caterpillar,Dozer
1081,Engines-Ma,Caterpillar,Engine - Marine
1081,Engines,Caterpillar,Engine Medium Duty
1081,Excavators,Caterpillar,Excavator
1081,Forestry L,Caterpillar,Forestry Loader
1081,Graders,Caterpillar,Grader
1081,Lift Truck,Caterpillar,Lift Truck
1081,Loaders,Caterpillar,Loader
1081,Loaders BH,Caterpillar,Loader - Backhoe
1081,Misc. Equi,Caterpillar,Misc. Equipment
1081,Motor Grad,Caterpillar,Motor Grader
1081,Off-Road &,Caterpillar,Off-Road & Mining Truck
1081,Paving Equ,Caterpillar,Paving Equipment
1081,Pipelayers,Caterpillar,Pipelayer
1081,Rollers,Caterpillar,Roller
1081,Scrapers,Caterpillar,Scraper
1081,Skid Steer,Caterpillar,Skid Steer
1081,SkidSteerL,Caterpillar,Skid Steer Loader
1081,Swathers,Caterpillar,Swather
1081,Telehandle,Caterpillar,Telehandler
1081,Tool Carri,Caterpillar,Tool Carrier
1081,TrackLoad,Caterpillar,Track Loader
1081,Track Trac,Caterpillar,Track Tractor
1081,Tractors F,Caterpillar,Tractor - Farm
1081,Tractors I,Caterpillar,Tractor - Industrial
1081,Wheel Load,Caterpillar,Wheel Loader
1081,Wheel Skid,Caterpillar,Wheel Skidder
1081,WheelTracD,Caterpillar,Wheel Tractor Dozer
CHAMPION,Graders,Champion,Grader
EU CHEVY,5,Chevrolet - Europe,Car
CHEV M ENG,Tilt & Tri,Chevrolet Marine Engine,Tilt & Trim
47,5,Chevrolet,Car
47,Medium & H,Chevrolet,Medium & Heavy-Duty Trucks
47,2187,Chevrolet,Medium/Heavy Truck
47,6,Chevrolet,Truck
47,7,Chevrolet,Van
CHRIS CRAF,BOAT,Chris Craft,Boat
CHRIS CRAF,Engines-Ma,Chris Craft,Engine - Marine
EU CHRYSL,5,Chrysler - Europe,Car
EU CHRYSL,7,Chrysler - Europe,Van
CHRY M ENG,Engines-Ma,Chrysler Marine Engine,Engine - Marine
39,5,Chrysler,Car
39,6,Chrysler,Truck
39,7,Chrysler,Van
EU CITROEN,5,Citroen - Europe,Car
EU CIT LCV,7,Citroen LCV - Europe,Van
871,Choppers,Claas,Chopper
871,16,Claas,Combine
871,Combines /,Claas,Combine / Harvester
CLARK,Cranes,Clark,Crane
CLARK,Dozers,Clark,Dozer
CLARK,Graders,Clark,Grader
CLARK,Lift Truck,Clark,Lift Truck
CLARK,Misc. Equi,Clark,Misc. Equipment
CLARK,Scrapers,Clark,Scraper
CLARK,SkidSteerL,Clark,Skid Steer Loader
CLARK,Skidders,Clark,Skidder
CLARK,Tow Tracto,Clark,Tow Tractor
CLARK,Tractor Sh,Clark,Tractor Shovel
CLUB CAR,Carts,Club Car,Cart
COCKSHUTT,15,Cockshutt,Baler
